short_name,nationality_name,pace,shooting,passing,dribbling,defending,attacking_crossing,attacking_finishing,skill_long_passing,skill_ball_control,movement_acceleration,movement_agility,power_shot_power,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_reflexes,goalkeeping_speed
José Fonte,Portugal,32,46,62,63,83,47,42,69,68,32,43,60,83,78,7,11,6,
J. Vertonghen,Belgium,76,62,72,67,83,70,54,74,70,74,56,80,84,85,6,10,7,
Lucas Leiva,Brazil,56,65,73,76,82,63,62,77,77,57,71,75,82,79,10,8,6,
Adán,Spain,,,,,,12,11,43,15,56,55,59,14,18,78,81,80,55
I. Perišić,Croatia,81,79,76,79,64,80,78,72,80,82,81,84,58,54,6,7,6,
A. Vidal,Chile,65,79,79,79,82,76,75,79,83,66,81,84,84,83,4,2,4,
M. Kruse,Germany,64,81,81,82,40,79,80,80,84,65,73,81,36,29,12,7,9,
M. Arnautović,Austria,79,81,79,78,44,77,80,74,82,78,70,84,42,39,14,15,15,
Marlos,Ukraine,79,76,78,86,47,75,76,73,88,77,85,77,46,42,6,13,9,
B. André,France,67,64,74,75,80,72,61,77,76,65,72,69,83,76,8,14,10,
N. Otamendi,Argentina,63,57,62,59,83,52,54,70,66,60,58,69,83,80,12,5,12,
T. Delaney,Denmark,75,71,74,74,83,68,68,80,75,77,73,78,81,84,8,12,15,
Aitor,Spain,,,,,,30,12,35,14,58,70,50,13,12,82,78,83,56
A. Delort,Algeria,84,82,73,75,37,74,82,64,74,81,73,89,37,25,10,14,11,
K. Kampl,Slovenia,70,67,81,85,63,72,62,78,84,79,90,69,63,59,13,11,16,
D. Ings,England,79,84,70,80,45,66,86,61,81,82,77,83,45,34,10,13,6,
Pizzi,Portugal,75,77,81,82,64,80,77,81,84,78,77,76,67,52,15,14,15,
Jonathan Viera,Spain,82,75,79,82,63,73,76,80,78,85,92,70,63,55,16,16,9,
J. Rodríguez,Colombia,53,86,86,86,50,89,84,85,90,55,78,86,41,44,15,15,14,
Danilo,Brazil,73,67,73,74,82,76,59,74,79,67,62,84,84,82,14,5,5,
Sergi Roberto,Spain,76,63,80,77,76,82,63,78,80,73,69,65,77,75,14,16,10,
J. Cillessen,Netherlands,,,,,,17,10,35,32,56,48,59,12,11,81,80,79,54
S. Berghuis,Netherlands,80,81,82,82,36,84,80,80,84,83,85,82,36,30,9,11,15,
Paco Alcácer,Spain,77,84,69,81,35,60,85,51,82,79,83,82,24,22,12,11,9,
Nacho Fernández,Spain,78,37,66,69,81,70,32,61,76,71,65,54,83,81,12,7,7,
Danilo Pereira,Portugal,64,63,71,73,80,58,57,78,77,60,54,74,81,68,9,7,15,
Lucas Moura,Brazil,90,79,70,86,43,70,79,66,82,93,93,85,43,44,9,10,14,
A. Marchesín,Argentina,,,,,,18,14,34,20,55,68,57,15,15,82,77,83,54
J. Tarkowski,England,57,45,67,65,82,59,40,73,69,50,55,63,82,80,14,8,7,
A. Florenzi,Italy,76,77,79,80,76,77,73,77,85,79,86,82,76,75,9,8,10,
T. Vaclík,Czech Republic,,,,,,15,14,38,20,42,43,56,18,18,83,77,84,40
K. Zouma,France,65,51,63,57,81,49,47,68,64,54,52,63,82,78,14,14,15,
Iñigo Martínez,Spain,71,56,66,64,81,51,42,83,75,69,68,81,80,84,12,16,11,
W. Orban,Hungary,49,36,52,55,84,39,38,58,57,50,48,37,86,80,15,12,6,
A. Milik,Poland,64,84,67,76,39,63,85,62,81,60,66,86,34,32,9,16,6,
J. Ward-Prowse,England,59,74,86,78,67,89,71,84,82,66,75,82,74,65,12,12,15,
A. Cragno,Italy,,,,,,15,12,25,21,41,37,55,11,12,82,80,84,39
E. Višća,Bosnia and Herzegovina,87,78,78,82,47,82,77,71,81,88,89,80,40,40,8,14,16,
M. Arnold,Germany,65,81,79,78,76,69,77,83,82,65,68,88,79,74,11,9,10,
L. Paredes,Argentina,66,71,83,79,76,79,61,85,81,67,71,88,78,80,9,14,10,
A. Januzaj,Belgium,79,75,80,83,30,81,77,76,81,83,84,74,23,22,15,10,7,
E. Forsberg,Sweden,70,73,82,83,35,82,74,76,86,72,78,71,27,20,13,7,11,
A. Belotti,Italy,76,81,59,78,38,42,88,48,77,74,75,81,23,32,13,7,7,
Lucas Vázquez,Spain,82,73,79,80,69,83,72,76,79,83,81,80,69,66,9,16,7,
Fred,Brazil,77,66,77,81,75,70,60,80,80,81,88,77,80,70,7,16,15,
A. Rabiot,France,76,74,76,80,76,70,69,80,84,70,69,86,81,75,9,12,15,
Rui Silva,Portugal,,,,,,13,20,26,24,31,34,56,10,19,82,76,84,31
P. Zieliński,Poland,81,75,81,85,70,77,72,81,85,83,85,79,72,71,12,9,6,
Otávio,Portugal,78,69,79,85,63,79,68,77,85,80,85,73,67,52,11,12,15,
D. Machís,Venezuela,88,80,75,83,38,79,82,71,81,90,92,84,35,24,8,8,10,
A. Martial,France,87,80,73,85,35,73,80,60,86,87,82,83,33,31,9,8,11,
O. Vlachodimos,Greece,,,,,,15,12,24,23,42,67,50,14,12,84,78,84,43
J. Brandt,Germany,73,75,80,84,48,79,73,79,85,77,84,81,47,49,11,16,9,
J. Musso,Argentina,,,,,,20,18,24,20,46,32,55,14,16,82,78,86,44
J. Correa,Argentina,84,75,77,85,39,74,77,74,86,81,83,79,37,26,11,10,8,
Iñaki Williams,Spain,94,78,72,78,37,76,77,66,76,93,78,85,34,29,14,15,13,
M. Politano,Italy,83,77,78,84,42,80,76,76,84,84,89,78,29,29,11,12,11,
Morales,Spain,86,82,75,85,52,77,84,68,84,87,80,82,54,45,14,13,8,
D. Djené,Togo,69,37,62,62,83,60,29,69,71,69,70,67,83,82,7,15,10,
H. Hateboer,Netherlands,84,64,72,77,77,82,64,70,78,80,68,72,78,77,11,6,15,
M. Dúbravka,Slovakia,,,,,,12,10,45,35,48,47,60,15,14,79,78,82,46
D. van de Beek,Netherlands,68,78,76,79,72,67,78,78,85,67,75,83,73,68,7,12,14,
D. Calvert-Lewin,England,83,77,64,77,39,65,82,47,80,76,72,79,31,23,12,12,11,
H. Lozano,Mexico,93,76,72,82,41,73,77,65,80,92,89,76,35,29,11,10,10,
David Soria,Spain,,,,,,15,19,33,19,49,49,54,13,13,81,80,82,43
K. Phillips,England,67,65,76,75,78,70,62,82,79,69,72,75,82,77,8,8,14,
Gonçalo Guedes,Portugal,86,79,76,82,36,81,76,69,81,85,84,84,34,30,9,12,9,
K. Laimer,Austria,81,68,77,78,80,78,69,78,78,82,76,72,79,75,9,12,12,
N. Pépé,Côte d'Ivoire,88,79,75,83,36,77,79,66,81,88,88,81,34,30,11,14,8,
N. Mukiele,France,80,49,69,73,82,74,40,70,74,77,67,67,85,82,10,7,15,
G. Lo Celso,Argentina,75,76,82,83,69,79,75,83,85,76,83,82,75,68,10,7,14,
Álex Remiro,Spain,,,,,,12,13,29,23,40,69,60,17,18,84,74,82,42
Yeray,Spain,68,49,62,64,82,48,41,70,72,64,54,69,82,81,12,9,11,
L. Pellegrini,Italy,78,74,81,80,72,74,72,82,83,77,79,76,74,72,12,7,11,
Juiano Mestres,Brazil,71,61,57,63,82,40,56,58,64,68,61,74,85,84,18,12,18,
Adryan Zonta,Brazil,93,66,75,76,72,81,59,71,72,92,81,73,72,69,12,15,14,
Rosberto Dourado,Brazil,77,57,74,77,82,61,53,78,76,75,72,60,86,80,15,14,9,
Louri Beretta,Brazil,78,84,62,72,33,56,85,47,74,74,60,85,27,24,8,11,20,
Welington Dano,Brazil,79,54,76,79,75,82,51,71,78,78,83,55,77,81,16,15,7,
Oswaldinato,Brazil,76,81,67,77,20,68,85,60,77,77,75,79,11,18,9,12,7,
R. Malinovskyi,Ukraine,74,80,83,81,64,79,73,81,85,73,69,90,72,50,6,6,13,
C. Nkunku,France,79,74,81,85,69,81,74,80,86,81,85,79,72,70,5,6,7,
Lucas Paquetá,Brazil,74,75,79,83,69,71,74,79,84,72,76,77,72,63,14,9,11,
Carlos Soler,Spain,78,77,82,79,71,77,78,82,81,75,75,77,79,68,6,14,11,
H. Barnes,England,86,77,76,81,45,78,78,68,81,85,81,80,47,44,6,5,10,
H. Aouar,France,75,75,81,85,66,70,76,80,86,78,84,72,68,58,14,6,10,
M. Lazzari,Italy,92,62,76,82,70,83,67,75,81,93,89,53,75,69,14,6,11,
R. James,England,80,58,77,77,76,86,48,71,80,78,72,75,80,74,8,12,11,
Cucurella,Spain,79,67,78,80,73,81,68,79,81,78,78,73,78,77,13,7,11,
Pedro Gonçalves,Portugal,76,81,79,84,56,75,84,78,84,77,83,81,57,50,15,11,8,
M. Diaby,France,94,67,73,85,41,75,73,70,82,96,92,73,35,46,8,9,14,
Reguilón,Spain,86,58,75,78,78,82,52,70,81,84,75,72,79,79,11,14,12,
E. Tapsoba,Burkina Faso,75,52,65,69,82,39,54,80,72,74,67,74,84,77,5,10,15,
D. Kulusevski,Sweden,84,74,77,84,56,80,70,69,87,85,77,74,64,58,14,5,5,
Renan Lodi,Brazil,84,67,76,81,77,81,64,75,81,85,85,76,78,79,12,7,15,
Pedri,Spain,78,65,79,84,66,68,68,80,83,81,88,62,73,63,12,7,8,
G. Buffon,Italy,,,,,,13,15,35,28,37,55,53,11,11,76,73,76,34
G. Ochoa,Mexico,,,,,,15,12,37,18,47,65,54,10,12,79,75,83,48
I. Akinfeev,Russia,,,,,,19,13,22,22,51,53,59,13,13,77,72,84,51
João Moutinho,Portugal,50,72,84,80,70,85,68,83,85,55,75,77,70,68,13,15,13,
J. Evans,Northern Ireland,52,32,61,60,83,52,28,65,71,51,45,42,83,81,12,16,8,
Raúl García,Spain,41,82,81,78,65,80,80,82,85,45,54,85,74,63,14,16,15,
M. Hamšík,Slovakia,68,77,81,80,70,78,73,82,82,69,76,82,67,62,8,6,14,
D. Wass,Denmark,74,77,80,77,76,79,75,81,80,73,73,85,76,75,11,9,13,
S. Mignolet,Belgium,,,,,,11,11,34,26,50,34,57,14,16,80,75,82,51
Marcelo,Brazil,73,72,80,87,75,84,71,77,91,74,80,81,77,78,12,5,9,
D. Payet,France,69,77,83,82,38,85,75,80,83,71,81,80,37,39,11,15,12,
M. Benatia,Morocco,63,45,52,63,81,45,47,61,62,65,59,66,81,79,7,4,11,
Nacho Monreal,Spain,65,61,74,74,80,78,55,70,77,62,69,74,83,81,7,5,5,
R. Nainggolan,Belgium,71,84,78,74,73,73,80,79,79,70,69,93,83,79,11,11,11,
D. Godín,Uruguay,57,48,63,61,80,52,42,70,72,59,57,67,81,79,6,8,15,
F. Muslera,Uruguay,,,,,,15,10,47,27,60,68,54,16,16,78,80,79,61
A. Ogbonna,Italy,56,40,60,62,82,51,25,69,63,50,52,68,83,80,5,3,4,
A. Sánchez,Chile,78,76,78,83,43,76,74,77,83,80,84,80,44,35,10,10,13,
José Callejón,Spain,77,76,76,81,48,82,75,60,85,76,84,78,32,32,8,5,11,
A. Ramsey,Wales,66,70,81,83,66,75,61,81,84,63,73,80,67,67,6,11,8,
Rafael Tolói,Italy,66,47,58,64,82,44,28,68,66,65,61,75,85,80,11,12,8,
R. Bürki,Switzerland,,,,,,15,8,24,23,44,49,45,13,16,81,79,86,46
F. Coquelin,France,68,67,76,80,78,69,64,81,81,68,74,75,81,80,9,9,15,
Guaita,Spain,,,,,,34,11,33,24,51,63,58,15,17,81,79,82,51
E. Salvio,Argentina,86,76,73,84,57,73,76,66,83,88,86,79,59,55,9,11,14,
R. Pereyra,Argentina,76,74,79,81,68,73,75,80,82,79,76,72,74,73,4,5,8,
E. Pérez,Argentina,68,66,77,77,77,68,61,77,79,70,76,75,79,80,9,11,13,
N. Lodeiro,Uruguay,74,73,83,81,49,81,72,76,81,76,82,72,52,40,12,16,15,
G. Krychowiak,Poland,68,76,72,72,75,63,72,81,79,67,59,82,76,72,15,14,7,
M. Perin,Italy,,,,,,11,11,31,23,57,70,53,12,19,80,80,82,57
Sérgio Oliveira,Portugal,58,79,82,77,72,81,72,82,81,62,69,88,72,60,9,9,10,
Bartra,Spain,71,61,72,73,80,57,55,79,78,71,71,73,80,81,10,15,8,
Pablo Sarabia,Spain,72,76,81,82,57,81,77,78,83,73,78,75,54,49,16,7,14,
C. Bakambu,Congo DR,90,80,71,76,36,74,83,64,75,91,83,81,29,21,6,13,6,
C. Aránguiz,Chile,65,71,80,77,76,77,66,83,78,68,79,78,74,74,15,7,13,
João Pedro,Brazil,72,78,77,81,41,69,82,74,83,74,72,77,44,28,14,16,12,
Ismaily,Brazil,82,64,74,81,75,80,60,67,81,84,72,75,74,75,8,8,10,
A. Mandi,Algeria,66,46,74,70,81,73,41,78,76,67,73,52,80,81,15,16,14,
Rafinha,Brazil,71,75,80,84,69,74,71,80,84,74,83,80,74,66,11,6,7,
M. Hinteregger,Austria,70,70,67,61,81,53,65,80,65,65,63,83,85,82,14,14,10,
R. Freuler,Switzerland,69,71,77,78,75,72,68,80,81,68,69,73,79,73,12,8,13,
J. Draxler,Germany,74,76,80,82,58,79,74,77,84,76,80,80,64,44,11,13,8,
D. Demme,Germany,57,42,75,77,76,70,31,78,82,64,82,62,77,75,14,10,9,
Š. Vrsaljko,Croatia,79,55,73,74,78,81,44,70,77,77,66,75,80,77,15,11,12,
Pozuelo,Spain,65,75,80,83,52,74,75,77,84,69,77,75,52,36,10,8,8,
K. Fortounis,Greece,75,77,79,82,43,77,78,76,84,74,79,76,38,38,16,15,11,
E. Zahavi,Israel,77,82,74,79,39,69,84,69,79,76,80,80,41,34,13,12,16,
F. Thauvin,France,79,79,79,80,41,80,78,75,82,82,85,82,29,31,8,11,9,
S. Umtiti,France,65,62,68,67,80,61,51,73,73,64,58,83,80,79,15,10,15,
T. Savanier,France,67,74,83,82,69,83,71,82,82,70,86,77,71,69,12,11,10,
S. Haller,Côte d'Ivoire,66,79,62,74,51,42,82,49,79,58,67,81,61,55,6,7,6,
Z. Feddal,Morocco,61,50,63,60,82,57,40,74,69,53,47,67,83,80,13,14,8,
E. Andrada,Argentina,,,,,,15,14,38,23,43,34,62,20,14,76,79,83,44
M. Keane,England,55,49,65,65,82,60,50,70,69,52,52,58,83,79,16,7,11,
Roger,Spain,77,82,63,77,41,59,84,59,79,76,73,83,36,38,15,13,8,
J. Martínez,Venezuela,87,80,61,79,25,53,85,55,79,85,90,84,20,15,12,14,8,
Q. Promes,Netherlands,88,78,78,81,46,78,79,73,80,87,85,81,48,40,10,13,13,
G. Laborde,France,77,78,76,78,40,74,80,71,80,75,71,78,34,23,14,15,9,
Pacheco,Spain,,,,,,14,16,29,15,48,62,53,16,13,79,77,82,46
Jonny,Spain,75,53,71,76,79,78,49,64,77,76,71,68,81,80,7,10,6,
D. Alli,England,68,78,78,82,65,72,80,80,84,67,76,78,65,60,7,6,8,
T. Strakosha,Albania,,,,,,18,18,22,15,41,45,56,18,12,82,77,84,43
P. Max,Germany,82,67,79,75,73,90,65,76,77,80,76,82,75,75,15,12,11,
João Mário,Portugal,69,69,80,83,66,76,64,79,85,71,80,76,73,65,6,15,8,
A. Christensen,Denmark,65,31,65,68,83,49,36,71,73,60,61,31,84,82,10,12,8,
F. Armani,Argentina,,,,,,18,11,29,35,41,37,50,13,19,78,76,85,43
W. Benítez,Argentina,,,,,,12,14,27,20,48,47,54,20,17,80,79,83,48
G. Rulli,Argentina,,,,,,12,15,23,15,56,58,59,13,17,80,79,80,54
Capa,Spain,82,64,76,77,74,81,56,67,77,81,81,83,78,76,12,13,11,
G. Di Lorenzo,Italy,84,66,73,76,76,76,64,71,75,85,78,72,78,75,8,10,7,
C. Tolisso,France,66,77,77,78,76,65,75,84,82,69,75,85,77,72,7,10,14,
Embarba,Spain,83,77,78,79,55,81,76,75,79,84,83,84,54,55,13,6,11,
J. Denayer,Belgium,83,43,67,71,81,58,42,71,73,82,69,57,82,81,7,10,15,
N. Keïta,Guinea,70,73,75,85,65,62,74,75,86,77,88,76,64,62,7,14,9,
Pau López,Spain,,,,,,24,19,41,16,45,40,54,20,11,80,79,82,48
V. Lindelöf,Sweden,63,51,73,72,81,62,42,80,77,61,62,72,81,78,12,16,9,
L. Klostermann,Germany,85,51,64,71,82,72,59,63,73,81,63,58,81,86,8,12,7,
Everton,Brazil,86,75,73,85,32,74,75,67,85,87,89,77,33,29,13,16,15,
S. Lainer,Austria,78,63,70,75,74,78,59,70,71,79,76,73,77,74,10,14,7,
J. Rodríguez,Uruguay,88,80,67,81,38,68,84,65,81,90,91,80,40,45,12,14,10,
L. Torreira,Uruguay,74,67,74,79,79,71,61,73,79,76,86,78,82,76,5,5,9,
Borja Iglesias,Spain,65,80,64,74,35,50,82,65,79,61,60,83,31,18,14,12,16,
Joan Jordán,Spain,63,75,81,77,67,70,75,84,80,59,67,80,76,54,13,12,9,
J. Bamba,France,89,75,74,81,39,74,73,66,81,89,83,78,39,38,15,14,9,
Álex Berenguer,Spain,82,76,76,81,63,76,79,65,81,86,85,77,64,66,14,16,13,
S. Bergwijn,Netherlands,85,78,75,82,39,77,75,63,82,87,79,84,28,26,11,14,13,
K. Tierney,Scotland,84,60,75,77,75,82,52,68,77,86,76,79,76,76,13,16,13,
I. Bennacer,Algeria,73,67,80,84,73,72,63,83,84,80,86,74,76,69,9,12,15,
M. Dmitrović,Serbia,,,,,,30,20,40,9,39,32,59,22,20,77,79,81,37
O. Zinchenko,Ukraine,73,65,80,80,77,82,58,78,82,75,78,77,79,76,15,11,11,
Nélson Semedo,Portugal,82,57,68,81,75,76,50,65,79,81,87,74,79,77,16,12,12,
M. Akanji,Switzerland,81,48,67,74,81,53,38,69,75,77,69,75,82,76,10,9,9,
D. Zakaria,Switzerland,83,64,72,75,80,67,66,73,76,79,67,73,82,79,12,12,11,
G. Mancini,Italy,61,45,50,59,80,34,48,42,75,59,34,51,81,77,13,12,8,
S. Sensi,Italy,67,60,83,83,67,78,49,84,90,71,81,69,73,73,10,6,13,
Gerson,Brazil,74,64,79,80,78,73,61,79,84,73,79,69,82,78,14,13,9,
Maikel Catarino,Brazil,76,51,70,77,77,81,48,75,77,81,83,52,78,76,15,13,15,
Héniton Pires,Brazil,,,,,,18,11,30,20,43,42,59,14,17,81,75,79,41
Laure Santeiro,Brazil,80,72,77,82,26,73,72,80,82,87,85,67,13,23,9,7,10,
Tony Abranjes,Brazil,67,39,55,58,81,39,31,66,68,65,55,61,81,78,7,14,13,
Renato Sanches,Portugal,84,74,77,84,72,72,67,79,83,86,85,89,74,65,5,12,14,
D. Malen,Netherlands,90,79,72,83,30,71,82,64,83,90,84,79,24,16,7,9,14,
Ç. Söyüncü,Turkey,76,46,60,67,80,46,39,64,71,69,64,65,84,80,6,7,7,
V. Osimhen,Nigeria,88,80,63,75,39,64,85,53,77,83,77,78,38,19,14,14,6,
X. Schlager,Austria,69,70,73,77,73,59,66,77,77,74,78,78,74,69,6,8,7,
D. Henderson,England,,,,,,14,9,45,32,51,61,59,14,14,80,79,83,50
N. Mazraoui,Morocco,82,61,74,81,75,74,63,73,81,81,86,67,75,78,12,7,12,
J. Pavlenka,Czech Republic,,,,,,11,16,17,19,35,39,45,10,14,82,75,85,36
B. Kamara,France,74,50,72,73,79,64,39,78,78,74,66,66,81,80,8,12,11,
S. McTominay,Scotland,66,75,75,75,78,68,71,78,76,62,66,85,81,74,9,6,11,
A. Bastoni,Italy,65,33,65,69,82,67,26,73,72,62,58,49,84,80,11,5,12,
Vinícius Jr.,Brazil,95,70,71,87,29,71,69,67,85,95,94,73,25,18,5,7,10,
M. Gómez,Uruguay,66,81,68,73,32,59,84,64,77,66,67,81,20,23,7,8,6,
R. Baku,Germany,84,73,73,81,70,79,74,69,78,83,82,77,70,75,12,8,9,
Unai Núñez,Spain,72,22,49,50,81,29,16,50,70,68,35,39,83,84,9,9,11,
L. Díaz,Colombia,92,77,70,82,32,75,76,66,79,92,86,82,36,34,10,13,14,
N. Vlašić,Croatia,83,77,78,82,48,71,76,77,80,82,78,80,55,37,6,14,14,
Pedro Porro,Spain,80,67,73,79,75,80,61,71,82,76,78,81,78,75,15,7,7,
V. Tsygankov,Ukraine,85,73,78,80,45,77,75,73,81,84,82,70,36,37,9,7,12,
V. Coufal,Czech Republic,77,56,73,75,78,81,50,73,76,76,74,66,81,78,13,12,13,
B. Saka,England,84,68,76,82,65,79,69,63,80,86,83,68,69,67,7,8,13,
Iniesta,Spain,51,69,84,84,59,75,68,83,89,59,72,67,53,50,6,13,7,
J. Milner,England,56,70,81,77,77,85,62,80,81,60,68,82,80,78,12,9,6,
F. Ribéry,France,69,73,81,85,30,74,71,82,89,69,74,79,25,26,15,6,10,
B. Costil,France,,,,,,11,14,33,12,47,38,58,11,14,78,77,80,49
B. Gomis,France,60,81,68,72,36,64,82,54,80,55,52,84,32,35,14,11,13,
M. Dembélé,Belgium,70,68,76,85,73,65,64,79,86,69,77,77,73,68,16,14,14,
B. Matuidi,France,73,65,72,76,77,72,59,72,75,74,81,78,78,79,8,11,14,
A. Candreva,Italy,72,78,79,80,61,79,73,80,82,75,79,87,63,53,10,4,14,
D. Ospina,Colombia,,,,,,11,10,32,32,34,44,58,13,12,82,72,84,34
M. Özil,Germany,62,68,85,79,24,81,67,81,82,66,74,70,16,19,6,14,14,
N. Guzmán,Argentina,,,,,,20,10,48,29,51,70,53,13,12,78,77,79,51
O. Giroud,France,39,80,70,71,42,64,82,58,81,34,54,84,37,20,12,15,5,
G. Sigurðsson,Iceland,54,78,82,78,59,85,74,78,83,55,66,84,61,55,13,8,12,
Montoro,Spain,45,64,75,72,75,54,54,83,81,44,55,76,77,73,12,8,16,
Y. M'Vila,France,65,64,74,74,75,62,61,80,78,64,71,68,76,72,13,9,7,
Rafael Carioca,Brazil,70,66,77,75,73,73,58,79,77,69,70,76,77,74,9,13,14,
M. Suárez,Argentina,79,77,77,83,44,75,76,74,84,84,88,78,45,39,9,16,8,
Iborra,Spain,33,70,75,70,77,59,67,81,80,32,51,79,77,73,14,11,8,
A. Cresswell,England,70,60,75,76,77,83,54,69,77,73,73,71,78,79,14,7,12,
B. Mee,England,62,42,58,63,81,59,36,61,63,61,63,60,81,79,15,7,14,
L. de Jong,Netherlands,50,78,71,70,46,66,79,62,79,48,54,83,43,37,16,10,11,
Illarramendi,Spain,47,71,77,78,77,68,72,79,80,58,69,69,79,78,15,7,12,
M. Antonio,Jamaica,83,76,73,78,55,75,79,72,76,79,80,79,56,53,12,13,10,
M. Silvestri,Italy,,,,,,12,20,20,20,58,65,47,18,16,82,77,82,59
S. El Shaarawy,Italy,87,75,74,79,46,75,74,66,77,87,93,73,37,35,5,3,3,
N. Matić,Serbia,36,67,75,73,80,70,59,82,79,33,47,84,81,72,7,15,9,
Ander Herrera,Spain,65,70,77,79,78,71,68,77,81,68,76,78,80,76,9,12,8,
Gao Late,China PR,83,78,77,79,41,73,77,74,83,82,74,78,41,34,9,14,7,
C. Wood,New Zealand,64,79,60,70,40,46,81,48,77,60,55,81,30,29,14,16,16,
Ai Kesen,China PR,84,80,73,79,48,67,80,66,79,87,83,86,45,35,9,16,7,
Marcos Alonso,Spain,58,74,78,77,75,83,70,71,83,61,64,84,80,77,9,7,12,
Mario Gaspar,Spain,74,69,71,72,78,78,68,69,74,71,67,78,81,82,9,12,15,
L. Rodríguez,Argentina,68,82,76,83,43,75,82,69,83,71,78,84,48,42,7,7,13,
N. Gudelj,Serbia,60,70,79,70,75,74,58,77,79,58,60,85,76,71,8,11,12,
X. Shaqiri,Switzerland,75,76,80,81,46,79,70,78,82,77,83,87,49,48,13,12,11,
Y. El Arabi,Morocco,71,83,69,79,37,61,87,64,81,75,82,79,30,42,6,16,11,
R. Gikiewicz,Poland,,,,,,18,13,20,19,27,38,48,14,13,80,74,82,28
C. Wilson,England,80,78,66,78,41,61,82,62,79,77,75,77,40,27,10,15,6,
Germán,Spain,49,40,59,56,81,42,40,66,68,42,37,65,83,82,14,6,9,
Rodrigo,Spain,86,78,75,79,45,77,78,62,81,87,79,82,43,40,7,13,5,
A. Oxlade-Chamberlain,England,81,74,77,82,67,78,70,75,83,82,79,83,72,68,16,9,9,
D. D'Ambrosio,Italy,70,56,67,71,80,73,48,67,69,74,72,66,80,79,9,10,15,
Lucas Pérez,Spain,79,82,75,77,32,74,85,69,79,78,72,82,24,26,14,8,10,
G. Xhaka,Switzerland,50,64,79,69,69,71,50,84,80,48,49,90,68,68,7,8,13,
Cristian Tello,Spain,89,75,74,80,48,75,77,70,78,88,79,81,49,42,15,12,13,
B. Lecomte,France,,,,,,13,11,21,23,44,36,58,11,12,79,77,80,42
G. Kondogbia,Central African Republic,68,74,75,77,78,65,68,78,79,67,73,86,79,80,15,10,10,
C. Coady,England,47,58,75,67,79,67,51,85,79,41,48,68,79,74,8,15,8,
E. Dier,England,53,64,69,64,79,64,52,75,72,51,35,84,80,81,11,14,9,
Deulofeu,Spain,88,73,73,83,30,74,72,62,81,89,90,75,30,22,12,16,11,
Sergi Darder,Spain,66,75,78,79,71,71,70,81,81,67,74,83,72,72,8,9,12,
W. Boly,Côte d'Ivoire,62,36,64,65,79,50,32,74,70,54,51,52,82,78,7,8,9,
K. Bellarabi,Germany,85,76,71,81,34,78,74,59,82,85,82,84,30,33,10,12,10,
Álvaro,Spain,64,33,59,58,80,51,22,68,64,66,64,65,82,80,8,13,8,
A. Carrillo,Peru,87,75,73,82,38,77,74,69,82,85,81,77,36,25,11,14,7,
D. Klaassen,Netherlands,71,80,73,76,72,67,81,77,80,69,68,81,75,65,12,6,10,
C. Kramer,Germany,44,50,70,73,78,61,48,73,77,52,64,54,77,72,8,13,8,
Edgar Badia,Spain,,,,,,14,12,32,18,45,53,57,12,15,77,76,82,44
S. Arias,Colombia,77,53,70,76,77,77,51,72,77,76,78,56,78,77,14,7,16,
R. Ruidíaz,Peru,84,80,66,78,32,67,83,53,77,81,83,79,22,23,12,9,12,
B. Mendy,France,74,54,76,76,75,83,39,69,80,71,68,79,78,79,7,7,9,
B. Davies,Wales,69,58,75,75,78,76,58,75,78,68,68,65,81,80,11,7,14,
T. Stepanenko,Ukraine,65,63,71,69,79,63,56,76,73,68,63,75,79,77,15,13,9,
A. Plea,France,71,82,77,79,39,78,83,72,79,77,80,82,40,30,11,15,15,
Manu Trigueros,Spain,56,71,78,78,70,72,66,79,81,57,70,77,72,64,9,14,8,
Kepa,Spain,,,,,,25,11,52,33,34,41,64,18,16,78,77,81,34
J. Lingard,England,76,79,75,80,58,74,78,65,80,78,83,79,57,49,14,10,9,
Matheus,Brazil,,,,,,15,12,36,22,44,45,55,20,15,82,75,83,45
A. Doucouré,France,70,76,72,76,77,68,76,76,80,66,65,84,80,76,15,12,14,
B. Djimsiti,Albania,68,39,59,50,82,53,36,68,68,69,44,52,82,78,10,6,10,
C. Günter,Germany,83,55,70,70,74,84,49,64,69,77,64,73,76,74,9,15,14,
De Tomás,Spain,75,82,68,81,35,55,82,66,82,76,78,84,29,22,6,11,14,
J. Hofmann,Germany,75,72,80,79,57,80,75,81,79,75,77,68,49,52,6,6,10,
J. Quintero,Colombia,73,76,81,83,39,79,71,73,83,75,89,83,30,22,14,16,12,
K. Mbabu,Switzerland,88,51,69,73,74,77,49,65,74,88,76,66,76,80,8,7,14,
C. Mbemba,Congo DR,72,53,56,65,80,55,52,66,65,70,67,76,82,80,9,14,7,
Rubén García,Spain,80,76,79,79,45,80,79,79,80,87,81,76,48,41,9,14,10,
